match_id,date,year,league,team_id,teamname,opp_team_id,opp_teamname,side,duration,result,teamkills,oppkills,towers,opp_towers,roshans,opp_roshans,barracks,opp_barracks
8630966219,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8987220,HolyTeam,8849817,ZEUS THUNDER GOD,radiant,1684,1,26,21,5,1,1,0,0,0
8631020015,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8987220,HolyTeam,8849817,ZEUS THUNDER GOD,dire,1682,1,32,19,6,1,1,0,2,0
8631020015,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8849817,ZEUS THUNDER GOD,8987220,HolyTeam,radiant,1682,0,19,32,1,6,0,1,0,2
8631064928,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8849837,FALL VICTIMS,9025669,CrimsonSky,dire,2290,1,42,35,7,4,1,0,6,0
8631064928,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,9025669,CrimsonSky,8849837,FALL VICTIMS,radiant,2290,0,35,42,4,7,0,1,0,6
8631122252,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,9025669,CrimsonSky,8849837,FALL VICTIMS,dire,1600,0,10,15,2,6,0,1,0,2
8631122252,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8849837,FALL VICTIMS,9025669,CrimsonSky,radiant,1600,1,15,10,6,2,1,0,2,0
8631156952,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8879077,Titan Strikers,8849990,REAL ECLIPSE,dire,2172,0,38,49,0,7,0,1,0,2
8631156952,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8849990,REAL ECLIPSE,8879077,Titan Strikers,radiant,2172,1,49,38,7,0,1,0,2,0
8631192711,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8849990,REAL ECLIPSE,8879077,Titan Strikers,dire,1599,0,7,24,0,4,0,1,0,0
8631192711,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8879077,Titan Strikers,8849990,REAL ECLIPSE,radiant,1599,1,24,7,4,0,1,0,0,0
8631218362,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8879077,Titan Strikers,8849990,REAL ECLIPSE,dire,2017,0,28,37,3,5,0,1,0,2
8631218362,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8849990,REAL ECLIPSE,8879077,Titan Strikers,radiant,2017,1,37,28,5,3,1,0,2,0
8631247606,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8850100,TOXIC TEAM,9048057,Vitality Warriors,dire,1663,1,25,23,6,1,1,0,2,0
8631247606,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,9048057,Vitality Warriors,8850100,TOXIC TEAM,radiant,1663,0,23,25,1,6,0,1,0,2
8631262616,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9886289,Cloud Rising,9579337,YB.Tearlaments,dire,2427,0,14,23,4,8,0,2,0,6
8631262616,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9579337,YB.Tearlaments,9886289,Cloud Rising,radiant,2427,1,23,14,8,4,2,0,6,0
8631265200,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9885928,Thriving,10008012,Jitsu,dire,2013,1,39,17,9,4,2,0,6,0
8631265200,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10008012,Jitsu,9885928,Thriving,radiant,2013,0,17,39,4,9,0,2,0,6
8631267673,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014558,TEAM YAOBIE,10014559,Lemnisgate!,dire,2685,1,30,26,6,1,0,1,2,0
8631267673,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014559,Lemnisgate!,10014558,TEAM YAOBIE,radiant,2685,0,26,30,1,6,1,0,0,2
8631274986,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,9048057,Vitality Warriors,8850100,TOXIC TEAM,dire,1828,1,38,10,7,2,0,0,2,0
8631274986,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8850100,TOXIC TEAM,9048057,Vitality Warriors,radiant,1828,0,10,38,2,7,0,0,0,2
8631303123,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,8850100,TOXIC TEAM,9048057,Vitality Warriors,dire,1826,0,25,42,2,6,0,1,0,2
8631303123,2026-01-02T00:00:00.000Z,2026,Dota 2 Space League,9048057,Vitality Warriors,8850100,TOXIC TEAM,radiant,1826,1,42,25,6,2,1,0,2,0
8631308776,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9885310,Roar,9444076,NGNB,dire,1309,1,24,5,6,2,1,0,2,0
8631308776,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9444076,NGNB,9885310,Roar,radiant,1309,0,5,24,2,6,0,1,0,2
8631310457,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9885928,Thriving,9579337,YB.Tearlaments,dire,2193,0,15,18,2,9,2,0,0,6
8631310457,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9579337,YB.Tearlaments,9885928,Thriving,radiant,2193,1,18,15,9,2,0,2,6,0
8631361196,2026-01-02T00:00:00.000Z,2026,Destiny League,9814269,Riftwalkers,9768002,Lunar Vibes,dire,1248,1,36,13,4,1,0,0,0,0
8631361196,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,9814269,Riftwalkers,radiant,1248,0,13,36,1,4,0,0,0,0
8631381335,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,9814269,Riftwalkers,dire,1803,1,44,30,5,3,1,0,2,0
8631381335,2026-01-02T00:00:00.000Z,2026,Destiny League,9814269,Riftwalkers,9768002,Lunar Vibes,radiant,1803,0,30,44,3,5,0,1,0,2
8631383235,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014558,TEAM YAOBIE,10014526,RNG反诈先锋,dire,1727,0,11,31,0,8,0,1,0,6
8631383235,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014526,RNG反诈先锋,10014558,TEAM YAOBIE,radiant,1727,1,31,11,8,0,1,0,6,0
8631383623,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9885310,Roar,9894442,Cloud Dawning,dire,2339,0,20,28,3,7,0,2,0,4
8631383623,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9894442,Cloud Dawning,9885310,Roar,radiant,2339,1,28,20,7,3,2,0,4,0
8631387861,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10008067,Game Master,9885315,Surge Gaming,dire,2768,1,30,23,8,4,1,2,4,0
8631387861,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9885315,Surge Gaming,10008067,Game Master,radiant,2768,0,23,30,4,8,2,1,0,4
8631399981,2026-01-02T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9767998,Nova Pulse,dire,1656,0,11,28,2,5,0,1,0,4
8631399981,2026-01-02T00:00:00.000Z,2026,Destiny League,9767998,Nova Pulse,8629315,Wiser Warriors,radiant,1656,1,28,11,5,2,1,0,4,0
8631407590,2026-01-02T00:00:00.000Z,2026,Destiny League,9814269,Riftwalkers,9768002,Lunar Vibes,dire,1263,0,27,36,0,7,0,0,0,2
8631407590,2026-01-02T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,9814269,Riftwalkers,radiant,1263,1,36,27,7,0,0,0,2,0
8631425121,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9579337,YB.Tearlaments,10014526,RNG反诈先锋,dire,1590,1,30,11,6,2,1,0,0,0
8631425121,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014526,RNG反诈先锋,9579337,YB.Tearlaments,radiant,1590,0,11,30,2,6,0,1,0,0
8631429504,2026-01-02T00:00:00.000Z,2026,Destiny League,9767998,Nova Pulse,8629315,Wiser Warriors,dire,1769,1,30,14,7,5,1,1,4,0
8631429504,2026-01-02T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9767998,Nova Pulse,radiant,1769,0,14,30,5,7,1,1,0,4
8631439866,2026-01-02T00:00:00.000Z,2026,Destiny League,2443375,Foxy gaming,9878494,LV United,dire,1484,0,26,29,4,6,0,1,0,4
8631439866,2026-01-02T00:00:00.000Z,2026,Destiny League,9878494,LV United,2443375,Foxy gaming,radiant,1484,1,29,26,6,4,1,0,4,0
8631445162,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9894442,Cloud Dawning,10008067,Game Master,dire,2954,0,21,29,10,9,2,1,5,6
8631445162,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10008067,Game Master,9894442,Cloud Dawning,radiant,2954,1,29,21,9,10,1,2,6,5
8631462648,2026-01-02T00:00:00.000Z,2026,Destiny League,9768243,Night Force,9425656,LSG,dire,2365,0,28,48,0,7,1,0,0,4
8631462648,2026-01-02T00:00:00.000Z,2026,Destiny League,9425656,LSG,9768243,Night Force,radiant,2365,1,48,28,7,0,0,1,4,0
8631467863,2026-01-02T00:00:00.000Z,2026,Destiny League,9878494,LV United,2443375,Foxy gaming,dire,1236,1,40,9,6,1,0,0,0,0
8631467863,2026-01-02T00:00:00.000Z,2026,Destiny League,2443375,Foxy gaming,9878494,LV United,radiant,1236,0,9,40,1,6,0,0,0,0
8631468848,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10014526,RNG反诈先锋,9579337,YB.Tearlaments,dire,1497,0,8,25,1,6,0,1,0,2
8631468848,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9579337,YB.Tearlaments,10014526,RNG反诈先锋,radiant,1497,1,25,8,6,1,1,0,2,0
8631469292,2026-01-02T00:00:00.000Z,2026,ESL challenger China,9886289,Cloud Rising,9885928,Thriving,dire,1796,0,8,22,1,4,0,1,0,0
8631469292,2026-01-02T00:00:00.000Z,2026,ESL challenger China,9885928,Thriving,9886289,Cloud Rising,radiant,1796,1,22,8,4,1,1,0,0,0
8631499538,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9545569,Elite Eclipse,9895818,Eye Gaming,dire,1572,0,22,41,0,4,0,1,0,0
8631499538,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9895818,Eye Gaming,9545569,Elite Eclipse,radiant,1572,1,41,22,4,0,1,0,0,0
8631502642,2026-01-02T00:00:00.000Z,2026,Destiny League,9425656,LSG,9768243,Night Force,dire,2044,1,36,21,5,1,2,0,0,0
8631502642,2026-01-02T00:00:00.000Z,2026,Destiny League,9768243,Night Force,9425656,LSG,radiant,2044,0,21,36,1,5,0,2,0,0
8631506446,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,10008067,Game Master,9894442,Cloud Dawning,dire,1475,1,28,11,6,2,0,0,1,0
8631506446,2026-01-02T00:00:00.000Z,2026,BLAST Slam VI China Qualifier,9894442,Cloud Dawning,10008067,Game Master,radiant,1475,0,11,28,2,6,0,0,0,1
8631539637,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9895818,Eye Gaming,9397016,Elite Eclipse,dire,3318,0,69,69,8,8,2,1,4,0
8631539637,2026-01-02T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9397016,Elite Eclipse,9895818,Eye Gaming,radiant,3318,1,69,69,8,8,1,2,0,4
8631548659,2026-01-02T00:00:00.000Z,2026,Destiny League,9426115,Dark Rebellion,8629005,Flawless Goblins,dire,2344,0,33,51,2,8,0,1,0,5
8631548659,2026-01-02T00:00:00.000Z,2026,Destiny League,8629005,Flawless Goblins,9426115,Dark Rebellion,radiant,2344,1,51,33,8,2,1,0,5,0
